coreid,cae,const,age,pg_age,degree_count,gift_count,fys_giving,act_consistency,crn_consistency,child_count,event_count,married,gillett
668945,P     ,I     ,0,0,0,8,5,1,1,3,0.693147181,1,0
669033,P     ,I     ,0,0,0,2,2,1,0.4,1,0,1,0
669280,A     ,I     ,26,0,1,2,2,0.5,0.4,0,0,1,0
669327,A     ,I     ,27,0,1,1,1,1,0.25,0,0,0,0
669340,A     ,I     ,27,0,1,3,2,0.5,0.4,0,0,1,0
669368,A     ,I     ,26,0,1,2,1,1,0.333333333,0,0,0,0
669662,A     ,I     ,26,0,1,1,1,1,0.25,0,0,0,0
669663,A     ,I     ,27,0,1,1,1,1,0.5,0,0,0,0
669763,A     ,I     ,27,0,1,2,2,1,0.4,0,0,0,0
669767,A     ,I     ,26,0,1,2,2,0.5,0.4,0,0,0,0
669973,A     ,I     ,26,0,1,3,3,0.6,0.6,0,0,0,0
670136,A     ,I     ,26,0,1,1,1,1,0.333333333,0,0,0,0
670204,A     ,I     ,26,0,1,1,1,1,0.25,0,0,1,0
670248,A     ,I     ,28,0,1,1,1,1,0.25,0,0,0,0
670272,I     ,I     ,0,0,0,2,2,0.5,0.5,1,1.791759469,1,0
670538,I     ,I     ,0,0,0,17,5,1,1,0,0,1,0
670696,A     ,I     ,26,0,1,2,2,1,0.4,0,0,0,0
670931,I     ,I     ,0,0,0,2,2,1,0.4,0,0,1,0
671098,I     ,S     ,45,0,0,1,1,1,0.5,0,0,1,0
671307,I     ,I     ,0,0,0,1,1,1,0.333333333,0,0,1,0
671376,I     ,S     ,35,0,0,7,5,1,1,0,0,1,0
671537,ST    ,I     ,25,0,0,2,2,1,0.4,0,0,0,0
671729,A     ,I     ,31,0,1,2,2,1,0.4,0,0,0,0
671785,I     ,I     ,0,0,0,2,2,0.666666667,0.4,0,0,1,0
671928,A     ,I     ,36,0,1,1,1,1,0.25,0,0,0,0
672400,I     ,I     ,0,0,0,2,2,0.666666667,0.4,0,0,0,0
672454,A     ,I     ,29,0,1,2,2,1,0.4,0,0,0,0
