"coreid","gift_count","fys","first_fy","last_fy","act_yrs","unrestricted_count","unrestricted_percent","honmem_count","honmem_percent","event_count","vol_count","group_count","grad_yr","cons_giv_yrs","degree","major","dept","birth_year","birth_month","birth_day","post_direction","pre_direction","street_number","street_type","sub_addr","addr_flag1","addr_flag2","addr_flag3","addr_code1","addr_code2","addr_code3","addr_code4","addr_code5","median_income","annual_two","target"
84936,18,11,1990,2014,25,2,0.111111,0,0,9,0,0,1968,4,4,18,8,1945,6,-1,5,1,1762,4,1,1,2,2,94,1,113,1,621,40808,600,1
84938,1,1,2014,2014,1,1,1,0,0,1,0,0,1969,0,4,5,8,-1,-1,-1,1,1,7274,1,1,1,1,1,1,2,76,2,745,57859,50,0
84953,13,13,1992,2014,23,4,0.307692,0,0,0,0,0,1968,3,3,16,8,-1,-1,-1,2,1,165,4,1,1,2,2,40,1,143,1,659,32110,125,1
84965,11,11,1995,2014,20,9,0.818182,0,0,0,0,0,1972,0,4,11,8,-1,-1,-1,1,1,17848,5,1,1,2,2,4,2,229,2,482,57262,25,0
84966,8,7,1996,2014,19,0,0,3,0.375,4,0,0,1974,6,4,12,8,1947,1,15,1,1,36585,7,1,1,2,3,10,4,1,2,851,71589,500,1
84977,19,15,1984,2011,28,6,0.315789,0,0,4,0,1,1975,18,4,16,8,1953,10,13,1,1,13975,4,1,1,2,2,4,1,665,2,759,52054,200,1
84985,55,31,1984,2014,31,16,0.290909,0,0,56,1,0,1973,31,3,16,8,-1,-1,-1,1,1,7372,4,1,1,2,3,14,2,28,2,729,57859,600,1
84992,19,18,1994,2014,21,13,0.684211,0,0,0,0,1,1972,13,3,20,8,-1,-1,-1,1,3,2900,6,1,1,1,1,2,2,250,2,9,52743,60,1
84997,10,6,2009,2014,6,10,1,0,0,0,0,0,1971,6,3,11,8,-1,-1,-1,1,1,856,2,1,1,1,1,41,1,241,2,568,47522,100,1
85001,11,10,1993,2014,22,5,0.454545,0,0,1,0,0,1977,5,4,14,8,-1,-1,-1,3,4,4878,8,1,1,2,2,13,2,193,2,789,118761,300,1
85017,11,11,2000,2014,15,9,0.818182,0,0,2,0,0,1991,4,8,36,10,1946,2,5,3,1,2320,4,1,1,1,1,20,1,76,1,205,67412,400,1
85026,42,21,1984,2014,31,2,0.047619,1,0.0238095,43,8,0,1969,15,4,12,8,1947,2,15,1,1,2147,3,1,1,1,1,11,2,36,1,473,57859,3800,1
85029,14,11,2004,2014,11,14,1,0,0,0,0,0,1974,11,4,11,8,-1,-1,-1,2,1,13420,6,1,1,1,1,1,2,152,1,202,44533,250,0
85048,24,19,1993,2014,22,0,0,0,0,0,0,0,1973,11,3,3,8,-1,-1,-1,1,1,10725,4,1,1,2,2,1,2,230,1,253,52389,600,1
